Serie,Modelo,Local,
2TX053074,IMPRESSORA XEROX C8035,CPFPF,
CN01Y1G7742611541RVM,"MONITOR DELL 21,5 POLEGADAS",CPFPF,
BR0HDK1P075912BC5GHM,MONITOR DELL E1912HC,CPFPF,
BR0HDK1P075912BQ0HZM,MONITOR DELL E1912HC,CPFPF,
BR0X34PF0759127D2Q6M,MONITOR DELL E1912HC,CPFPF,
BR0X34PF0759127U3C9M,MONITOR DELL E1912HC,CPFPF,
BR0X34PF0759127U44VM,MONITOR DELL E1912HC,CPFPF,
CN03GTCV7287239DALRL,MONITOR DELL MODELO P1913SB,CPFPF,
CN03GTCV7287239PCPFL,MONITOR DELL MODELO P1913SB,CPFPF,
BR0N8F3M075912BT0MNM,MONITOR DELL MODELO U2211HT,CPFPF,
IM577,PC LENOVO,CPFPF,
S/ SERIAL,CABO DE FORÇA,CSDT,
4A890L63M,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890L764,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890L79J,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890L80D,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890L852,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890L88H,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890LF5N,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890LG01,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890LH04,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890LS90,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890M64Y,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890M668,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890MB8X,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890MC6Q,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890MD7Y,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890MG1J,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890MG2I,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890MH3Q,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890MJ1M,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890MN23,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890MN38,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A890MQ86,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A891DS2U,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
4A892K675,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
GWX4MD2,COMPUTADOR CORE I3 7100 HD 500 4GB,CSDT,
14XMVG2,COMPUTADOR DELL I3 8GB 240SSD,CSDT,
53BB9S1,COMPUTADOR DELL I3 8GB 240SSD,CSDT,
8230531001261,COMPUTADOR DELL I5 8GB 240SSD,CSDT,
