Serie,Modelo,Local,
3TX393012,IMPRESSORA XEROX C8035,DEJUR,
PE03UEAN,MINI COMPUTADOR LENOVO I5 8GB 240SSD,DEJUR,
PE03Z640,MINI COMPUTADOR LENOVO I5 8GB 240SSD,DEJUR,
PE03ZEQT,MINI COMPUTADOR LENOVO I5 8GB 240SSD,DEJUR,
010SPBF17013,"MONITOR AOC LED 18,5",DEJUR,
010SPHG16921,"MONITOR AOC LED 18,5",DEJUR,
CN0668VC7426166I220B,"MONITOR DELL 21,5 POLEGADAS",DEJUR,
CN07CT167426139P3H1U,MONITOR DELL MODELO P1913SB,DEJUR,
BR0N8F3M075911AI17QM,MONITOR DELL MODELO U2211HT,DEJUR,
F65KLG2,NOTEBOOK  DELL ,DEJUR,
2303191010647,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,DIGITALIZAÇÃO,
2319291010008,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,DIGITALIZAÇÃO,
PE03UBMX,MINI COMPUTADOR LENOVO I5 8GB 240SSD,DIGITALIZAÇÃO,
PE05901G,MINI COMPUTADOR LENOVO I5 8GB 240SSD,DIGITALIZAÇÃO,
CN0WM4WV6418034Q01MT,"MONITOR DELL 21,5 POLEGADAS",DIGITALIZAÇÃO,
CN0WM4WV6418034R0QST,"MONITOR DELL 21,5 POLEGADAS",DIGITALIZAÇÃO,
X5XS017397,SCANNER EPSON DS 870.65,DIGITALIZAÇÃO,
X5XS017400,SCANNER EPSON DS 870.65,DIGITALIZAÇÃO,
4A890MG8C,COMPUTADOR CORE I3 7100 HD 500 4GB,NAI,
4A892K503,COMPUTADOR CORE I3 7100 HD 500 4GB,NAI,
4A892K64Q,COMPUTADOR CORE I3 7100 HD 500 4GB,NAI,
GW68MD2,COMPUTADOR DELL I5 8GB 240SSD,NAI,
210351065,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,NAI,
2419391010414,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,NAI,
201272300,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,NAI,
9TX219522,IMPRESSORA XEROX C8040,NAI,
010SPBF0Y333,"MONITOR AOC LED 18,5",NAI,
BR11HDK1P075912BQ113M,MONITOR DELL E1912HC,NAI,
CN03GTCV728723B6C82L,MONITOR DELL MODELO P1913SB,NAI,
VB18346,MONITOR LENOVO THINKVISION S22E19,NAI,
4A890MK1P,COMPUTADOR CORE I3 7100 HD 500 4GB,OUV,
BRJ720FRPT,COMPUTADOR HP I5 8GB 240SSD,OUV,
201272355,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,OUV,
BW01031010B0,IMPRESSORA OKI MC573,OUV,
PE03UDJR,MINI COMPUTADOR LENOVO I5 8GB 240SSD,OUV,
BR0HDK1P0759128Q150M,MONITOR DELL E1912HC,OUV,
SVA174826,MONITOR LENOVO THINKVISION S22E19,OUV,
009SPUH04791,"MONITOR LG 18,5 POLEGADAS",OUV,
4A890L59D,COMPUTADOR CORE I3 7100 HD 500 4GB,OUV,
4A890MT0B,COMPUTADOR CORE I3 7100 HD 500 4GB,PROTOCOLO,
2419391010377,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,PROTOCOLO,
2444491010088,ESTABILIZADOR TS SHARA DE SERIAL ,PROTOCOLO,
PE03U9BE,MINI COMPUTADOR LENOVO I5 8GB 240SSD,PROTOCOLO,
010SPUU16910,"MONITOR AOC LED 18,5",PROTOCOLO,
SVA463136,MONITOR LENOVO THINKVISION S22E19,PROTOCOLO,
BRJ843Y07L,COMPUTADOR HP I5 8GB 240SSD,AC,
4A890L64R,COMPUTADOR CORE I3 7100 HD 500 4GB,CEF I,
4A890LH73,COMPUTADOR CORE I3 7100 HD 500 4GB,CEF I,
4Z7YWQ2,COMPUTADOR DELL I5 8GB 240SSD,CEF I,
2419391010372,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CEF I,
2423191010346,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CEF I,
2436391010581,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CEF I,
214321590010020000,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CEF I,
210160070,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CEF I,
AL9A016426,IMPRESSORA OKI ES8473,CEF I,
CTNX2T2,MINI COMPUTADOR DELL I5 8GB 240SSD,CEF I,
010SPYR16874,"MONITOR AOC LED 18,5",CEF I,
CN07CT167426136Q2TYL,"MONITOR DELL 21,5 POLEGADAS",CEF I,
CN0MG0JJ74445168121L,"MONITOR DELL 21,5 POLEGADAS",CEF I,
BR0HDK1P075912BU2Y0M,MONITOR DELL E1912HC,CEF I,
CN07CT167426135H2PRU,MONITOR DELL MODELO P1913SB,CEF I,
4A888T08X,COMPUTADOR CORE I3 7100 HD 500 4GB,CEF II,
4A890M653,COMPUTADOR CORE I3 7100 HD 500 4GB,CEF II,
4A890MB6N,COMPUTADOR CORE I3 7100 HD 500 4GB,CEF II,
2332191010869,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CEF II,
210160108,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CEF II,
210160120,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CEF II,
009SPKN05501,"MONITOR AOC LED 18,5",CEF II,
MMLY6AA0169110D67585A9,MONITOR AOC LED 18.5,CEF II,
603SPUU05934,"MONITOR LG 19,5 POLEGADAS",CEF II,
4A890MJ7G,COMPUTADOR CORE I3 7100 HD 500 4GB,CEI,
4A890ML6H,COMPUTADOR CORE I3 7100 HD 500 4GB,CEI,
210160056,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CEI,
210160059,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CEI,
2419391010373,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CEI,
201272271,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CEI,
 9TX215585,IMPRESSORA XEROX C7020,CEI,
BR0HDK1P075912BC5GGM,"MONITOR DELL 18,5 POLEGADAS",CEI,
BR0X34PF075912941JDM,MONITOR DELL E1912HC,CEI,
CN07CT167426135M2FJU,MONITOR DELL MODELO P1913SB,CEI,
CN07CT167426139P17DU,MONITOR DELL MODELO P1913SB,CEI,
4A890L68B,COMPUTADOR CORE I3 7100 HD 500 4GB,CEJA,
4A890LF6S,COMPUTADOR CORE I3 7100 HD 500 4GB,CEJA,
4A890MG5X,COMPUTADOR CORE I3 7100 HD 500 4GB,CEJA,
4A890MN0T,COMPUTADOR CORE I3 7100 HD 500 4GB,CEJA,
4A893N18J,COMPUTADOR CORE I3 7100 HD 500 4GB,CEJA,
P0622005816,COMPUTADOR DUAL CORE 4GB 500GB,CEJA,
210160058,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CEJA,
2403491010293,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CEJA,
210350976,ESTABILIZADOR TS SHARA DE SERIAL ,CEJA,
201272270,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CEJA,
3TX391129,IMPRESSORA XEROX C8035,CEJA,
CN03GTCV7287239PA8FL,MONITOR DELL MODELO P1913SB,CEJA,
CN03GTCV728723B6CA6L,MONITOR DELL MODELO P1913SB,CEJA,
CN07CT167426135I16MU,MONITOR DELL MODELO P1913SB,CEJA,
CN07CT167426138Q0W3L,MONITOR DELL MODELO P1913SB,CEJA,
608SPUU03238,"MONITOR LG 19,5 POLEGADAS",CEJA,
BRJ843XYLX,COMPUTADOR HP I5 8GB 240SSD,CLL,
BRJ9486JJ6,COMPUTADOR HP I5 8GB 240SSD,CLL,
2440491010650,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CLL,
210160078,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CLL,
210160080,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CLL,
9TX215660,IMPRESSORA XEROX C7020,CLL,
CN03GTCV7287239PAV5L,MONITOR DELL MODELO P1913SB,CLL,
CN03GTCV728723B6C92L,MONITOR DELL MODELO P1913SB,CLL,
CN07CT167426135M1RPU,MONITOR DELL MODELO P1913SB,CLL,
4ZFXWQ2,COMPUTADOR DELL I5 8GB 240SSD,COTRAN,
J7774473,COMPUTADOR DELL I5 8GB 240SSD,COTRAN,
BRJ721FW86,COMPUTADOR HP I5 8GB 240SSD,COTRAN,
BRJ817QZPJ,COMPUTADOR HP I5 8GB 240SSD,COTRAN,
BRJ843XXKG,COMPUTADOR HP I5 8GB 240SSD,COTRAN,
BRJ843Y084,COMPUTADOR HP I5 8GB 240SSD,COTRAN,
BRJ91427HD,COMPUTADOR HP I5 8GB 240SSD,COTRAN,
2419391010404,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,COTRAN,
2440491010509,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,COTRAN,
24444910010012,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,COTRAN,
210350974,ESTABILIZADOR TS SHARA DE SERIAL ,COTRAN,
210350981,ESTABILIZADOR TS SHARA DE SERIAL ,COTRAN,
201272350,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,COTRAN,
2432391010248,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,COTRAN,
2444491010220,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,COTRAN,
9TX216558,IMPRESSORA XEROX C7020,COTRAN,
PE03U9BP,MINI COMPUTADOR LENOVO I5 8GB 240SSD,COTRAN,
PEBLF78,MINI PC LENOVO,COTRAN,
17L20GT211201910,MONITOR 20 LED 3GREEN,COTRAN,
009SPMZ04779,"MONITOR AOC LED 18,5",COTRAN,
010SPDT17026,"MONITOR AOC LED 18,5",COTRAN,
010SPJP16868,"MONITOR AOC LED 18,5",COTRAN,
010SPZK17069,"MONITOR AOC LED 18,5",COTRAN,
BR0HDK1P075912BR5TM,MONITOR DELL,COTRAN,
CN07CT167426139P200U,"MONITOR DELL 21,5 POLEGADAS",COTRAN,
CN03GTCV7287239PAU6L,MONITOR DELL MODELO P1913SB,COTRAN,
4A890LF97,COMPUTADOR CORE I3 7100 HD 500 4GB,DAIE,
4A890LG9A,COMPUTADOR CORE I3 7100 HD 500 4GB,DAIE,
4A890MD02,COMPUTADOR CORE I3 7100 HD 500 4GB,DAIE,
4ZSSWQ2,COMPUTADOR DELL I5 8GB 240SSD,DAIE,
P1021005454,COMPUTADOR I3 8GB 240SSD,DAIE,
201272263,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,DAIE,
2419391010380,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,DAIE,
210160085,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DAIE,
210160088,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DAIE,
2TX054434,IMPRESSORA XEROX C8035,DAIE,
BR0X34PF0759127U4X7M,MONITOR DELL,DAIE,
CN03GTCV728723CTA4DL,"MONITOR DELL 18,5 POLEGADAS",DAIE,
BR0HDK1P075912BC5GNM,MONITOR DELL E1912HC,DAIE,
BR0HDK1P0759132L05DM,MONITOR DELL E1912HC,DAIE,
BR0N8F3M075912CA1PRM,MONITOR DELL MODELO U2211HT,DAIE,
4A890LC70,COMPUTADOR CORE I3 7100 HD 500 4GB,DAISE,
4A890LD91,COMPUTADOR CORE I3 7100 HD 500 4GB,DAISE,
4A890M72R,COMPUTADOR CORE I3 7100 HD 500 4GB,DAISE,
4A890MJ56,COMPUTADOR CORE I3 7100 HD 500 4GB,DAISE,
4A890MP83,COMPUTADOR CORE I3 7100 HD 500 4GB,DAISE,
2430491010455,ESTABILIZADOR 300 VA MONO POWEREST,DAISE,
201272302,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DAISE,
201272305,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DAISE,
201272306,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DAISE,
201272307,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DAISE,
2444491010126,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DAISE,
2444491010217,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DAISE,
2444491010219,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DAISE,
AL77042454,IMPRESSORA OKI ES8473,DAISE,
PE03UDZR,MINI COMPUTADOR LENOVO I5 8GB 240SSD,DAISE,
CN07CT167426139P1H6U,"MONITOR DELL 18,5 POLEGADAS",DAISE,
BR0X34PF0759127U0J7M,MONITOR DELL E1912HC,DAISE,
BR0X34PF0759127U3AMM,MONITOR DELL E1912HC,DAISE,
BR0X34PF0759127U3EYM,MONITOR DELL E1912HC,DAISE,
BR0X34PF0759127U3Z0M,MONITOR DELL E1912HC,DAISE,
BR0X34PF075912941J0M,MONITOR DELL E1912HC,DAISE,
BR0X34PF075912941J9M,MONITOR DELL E1912HC,DAISE,
4A890L955,COMPUTADOR CORE I3 7100 HD 500 4GB,DEB,
1L447,COMPUTADOR DELL I5 8GB 240SSD,DEB,
BRJ448D9TL,COMPUTADOR HP I5 8GB 240SSD,DEB,
BRJ843XY05,COMPUTADOR HP I5 8GB 240SSD,DEB,
BRJ91427DS,COMPUTADOR HP I5 8GB 240SSD,DEB,
BRJ91427F7,COMPUTADOR HP I5 8GB 240SSD,DEB,
BRJ91427NR,COMPUTADOR HP I5 8GB 240SSD,DEB,
BRJ92940VN,COMPUTADOR HP I5 8GB 240SSD,DEB,
BRJ93851G5,COMPUTADOR HP I5 8GB 240SSD,DEB,
BRJ9486JC4,COMPUTADOR HP I5 8GB 240SSD,DEB,
210160083,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DEB,
210160084,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DEB,
2343291010115,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DEB,
2TX063708,IMPRESSORA XEROX C8035,DEB,
FAR35IA001214,"MONITOR AOC 19,5 POLEGADAS",DEB,
BR0X34PF0759127U37ZM,MONITOR DELL E1912HC,DEB,
BR0X34PF0759127U4NAM,MONITOR DELL E1912HC,DEB,
CN03GTCV7287239PC03L,MONITOR DELL MODELO P1913SB,DEB,
CN03GTCV728723B6CEHL,MONITOR DELL MODELO P1913SB,DEB,
CN07CT167426135M1YEU,MONITOR DELL MODELO P1913SB,DEB,
CN07CT1674261376228U,MONITOR DELL MODELO P1913SB,DEB,
CN07CT167426139P0WRU,MONITOR DELL MODELO P1913SB,DEB,
CN07CT167426139P43HU,MONITOR DELL MODELO P1913SB,DEB,
4A890L70A,COMPUTADOR CORE I3 7100 HD 500 4GB,DPPE,
4A890L78E,COMPUTADOR CORE I3 7100 HD 500 4GB,DPPE,
4A890M76B,COMPUTADOR CORE I3 7100 HD 500 4GB,DPPE,
4A890MM0Q,COMPUTADOR CORE I3 7100 HD 500 4GB,DPPE,
4A890MR05,COMPUTADOR CORE I3 7100 HD 500 4GB,DPPE,
4A890MR1A,COMPUTADOR CORE I3 7100 HD 500 4GB,DPPE,
4A892K59C,COMPUTADOR CORE I3 7100 HD 500 4GB,DPPE,
PE04F38T,COMPUTADOR LENOVO I3 8GB 500GB,DPPE,
4A479SP1L,COMPUTADOR POSITIVO,DPPE,
2419391010420,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,DPPE,
201272272,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DPPE,
201272273,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DPPE,
201272304,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DPPE,
201272308,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DPPE,
201272309,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,DPPE,
AL7B047328,IMPRESSORA OKI ES8473,DPPE,
50142554,MONITOR 19 POLEGADAS POSITIVO E2011PX,DPPE,
CN03GTCV728723B6AE7L,MONITOR DELL MODELO P1913SB,DPPE,
CN03GTCV728724AVAHYL,MONITOR DELL MODELO P1913SB,DPPE,
CN07CT167426135M1TRU,MONITOR DELL MODELO P1913SB,DPPE,
CN07CT167426136Q2UML,MONITOR DELL MODELO P1913SB,DPPE,
CN07CT167426139P1K5U,MONITOR DELL MODELO P1913SB,DPPE,
CN07CT167426139P3P5U,MONITOR DELL MODELO P1913SB,DPPE,
BR0N8F3M075912AU0QWM,MONITOR DELL MODELO U2211HT,DPPE,
4A890L867,COMPUTADOR CORE I3 7100 HD 500 4GB,NUMP,
4A890M61J,COMPUTADOR CORE I3 7100 HD 500 4GB,NUMP,
4VVYWQ2,COMPUTADOR DELL I5 8GB 240SSD,NUMP,
P0921005389,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,NUMP,
210160121,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,NUMP,
BW03000778,IMPRESSORA OKI MC573,NUMP,
009SPPB05248,"MONITOR AOC LED 18,5",NUMP,
010SPED16956,"MONITOR AOC LED 18,5",NUMP,
CN07CT167426135I1CAU,"MONITOR DELL 18,5 POLEGADAS",NUMP,
4A890L74U,COMPUTADOR CORE I3 7100 HD 500 4GB,SUPED,
4A890L98K,COMPUTADOR CORE I3 7100 HD 500 4GB,SUPED,
4A890LD0S,COMPUTADOR CORE I3 7100 HD 500 4GB,SUPED,
4A890M859,COMPUTADOR CORE I3 7100 HD 500 4GB,SUPED,
4A893N169,COMPUTADOR CORE I3 7100 HD 500 4GB,SUPED,
4ZHVWQ2,COMPUTADOR DELL I5 8GB 240SSD,SUPED,
BRJ733HS40,COMPUTADOR HP I5 8GB 240SSD,SUPED,
2403491010369,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,SUPED,
2440491010212,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,SUPED,
2444491010362,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,SUPED,
201272252,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,SUPED,
201272268,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,SUPED,
201272339,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,SUPED,
2436391010653,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,SUPED,
2444491010166,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,SUPED,
2444491010212,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,SUPED,
3TX387078,IMPRESSORA XEROX C8035,SUPED,
PE03UA1S,MINI COMPUTADOR LENOVO I5 8GB 240SSD,SUPED,
MMLY6AA016949059C185A9,"MONITOR ACER 19,5 POLEGADAS",SUPED,
010SPQJ16948,"MONITOR AOC LED 18,5",SUPED,
BR0X34PF0759127U3APM,MONITOR DELL,SUPED,
CN03GTCV728723B6AFWL,"MONITOR DELL 18,5 POLEGADAS",SUPED,
CN0M1VFN7444539B518S,"MONITOR DELL 21,5 POLEGADAS",SUPED,
BR0X34PF0759127U0H7M,MONITOR DELL E1912HC,SUPED,
BR0N8F3M075912BT15YM,MONITOR DELL MODELO U2211HT,SUPED,
BR0N8F3M075912BT1Q1M,MONITOR DELL MODELO U2211HT,SUPED,
VA322906,"MONITOR LENOVO 19,5 POLEGADAS",SUPED,
DNLQJ82,NOTEBOOK LATITUDE E7250 I5 5300U 8GB SSD 128GB,SUPED,
4A8909L1L,PC POSITIVO,SUPED,
4A890L940,COMPUTADOR CORE I3 7100 HD 500 4GB,AC,
4A890LF82,COMPUTADOR CORE I3 7100 HD 500 4GB,AC,
BRJ721FVTY,COMPUTADOR HP I5 8GB 240SSD,AC,
BRJ723G68G,COMPUTADOR HP I5 8GB 240SSD,AC,
210350979,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,AC,
2444491010015,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,AC,
AL57000629,IMPRESSORA OKI ES8473,AC,
GLED194106240320,MONITOR 3GREEN TECHNOLOGY  ,AC,
010SPED0X868,"MONITOR AOC LED 18,5",AC,
010SPQJ16876,"MONITOR AOC LED 18,5",AC,
CN07CT167426135I13YU,"MONITOR DELL 18,5 POLEGADAS",AC,
CN07CT16742613761TYU,"MONITOR DELL 18,5 POLEGADAS",AC,
3TX388298,IMPRESSORA XEROX C8035,ASS/SAGP,
2BH46W1,COMPUTADOR DELL I5 8GB 240SSD,CAESC,
4JKRKF2,COMPUTADOR DELL I5 8GB 240SSD,CAESC,
505YWQ2,COMPUTADOR DELL I5 8GB 240SSD,CAESC,
HS3R862,COMPUTADOR DELL I5 8GB 240SSD,CAESC,
BRJ716F1MP,COMPUTADOR HP I5 8GB 240SSD,CAESC,
BRJ843XYMC,COMPUTADOR HP I5 8GB 240SSD,CAESC,
BRJ91427C8,COMPUTADOR HP I5 8GB 240SSD,CAESC,
2440491010683,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CAESC,
2440491010685,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CAESC,
2430491010491,ESTABILIZADOR TS SHARA DE SERIAL ,CAESC,
201272246,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAESC,
201272249,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAESC,
210160006,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAESC,
210160007,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAESC,
210160009,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAESC,
210160010,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAESC,
AK42014643,IMPRESSORA OKI MC780,CAESC,
BR0HDK1P075912BQ0ZDM,"MONITOR DELL 21,5 POLEGADAS",CAESC,
BR0HDK1P075912BC5GMM,MONITOR DELL E1912HC,CAESC,
BR0HDK1P075912BU054M,MONITOR DELL E1912HC,CAESC,
BR0X34PF0759127U0J1M,MONITOR DELL E1912HC,CAESC,
BR0X34PF0759127U37QM,MONITOR DELL E1912HC,CAESC,
BR0X34PF075912941HPM,MONITOR DELL E1912HC,CAESC,
BR0X34PF075912941HVM,MONITOR DELL E1912HC,CAESC,
HS3M172,PC DELL,CAESC,
X5XS017409,SCANNER EPSON DS 870.65,CAESC,
5061XQ2,COMPUTADOR DELL I5 8GB 240SSD,CAPC,
5SL90Y1,COMPUTADOR DELL I5 8GB 240SSD,CAPC,
6SJB6W1,COMPUTADOR DELL I5 8GB 240SSD,CAPC,
9DM5G22,COMPUTADOR DELL I5 8GB 240SSD,CAPC,
BQZHSV1,COMPUTADOR DELL I5 8GB 240SSD,CAPC,
C9YKKZ1,COMPUTADOR DELL I5 8GB 240SSD,CAPC,
F1WLJ82,COMPUTADOR DELL I5 8GB 240SSD,CAPC,
F22HJ82,COMPUTADOR DELL I5 8GB 240SSD,CAPC,
HS3N862,COMPUTADOR DELL I5 8GB 240SSD,CAPC,
2319291010153,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CAPC,
2326391010295,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CAPC,
2429391010040,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CAPC,
2440491010502,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CAPC,
2444491010007,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CAPC,
P0921005390,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CAPC,
201272286,ESTABILIZADOR TS SHARA DE SERIAL ,CAPC,
201272294,ESTABILIZADOR TS SHARA DE SERIAL ,CAPC,
2444491010085,ESTABILIZADOR TS SHARA DE SERIAL ,CAPC,
201272239,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAPC,
201272287,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAPC,
201272289,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAPC,
201272290,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAPC,
201272293,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAPC,
2436391010652,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAPC,
2444491010018,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAPC,
"W1007659C00377
",ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAPC,
AK8A030862,IMPRESSORA OKI ES4172LP,CAPC,
BW01031027,IMPRESSORA OKI MC573,CAPC,
KCYI8XA016964,"MONITOR AOC 18,5 POLEGADAS",CAPC,
009SPCA05227,"MONITOR AOC LED 18,5",CAPC,
009SPJP05532,"MONITOR AOC LED 18,5",CAPC,
009SPKN0A349,"MONITOR AOC LED 18,5",CAPC,
009SPVH0A359,"MONITOR AOC LED 18,5",CAPC,
009SPXV05218,"MONITOR AOC LED 18,5",CAPC,
010SPDT16930,"MONITOR AOC LED 18,5",CAPC,
010SPED16860,"MONITOR AOC LED 18,5",CAPC,
010SPED16932,"MONITOR AOC LED 18,5",CAPC,
010SPXV17034,"MONITOR AOC LED 18,5",CAPC,
010SPZK17021,"MONITOR AOC LED 18,5",CAPC,
BR0N8F3M0759121K039M,"MONITOR DELL 21,5 POLEGADAS",CAPC,
BR0N8F3M075912BT0JGM,MONITOR DELL MODELO U2211HT,CAPC,
18BFK21,PC DELL,CAPC,
34MLHJ2,PC DELL,CAPC,
4HMPKF2,PC DELL,CAPC,
PE029G8M,PC LENOVO,CAPC,
504WWQ2,COMPUTADOR DELL I5 8GB 240SSD,CAT,
C18QVG2,COMPUTADOR DELL I5 8GB 240SSD,CAT,
FTNPLG2,COMPUTADOR DELL I5 8GB 240SSD,CAT,
HMJS9B2,COMPUTADOR DELL I5 8GB 240SSD,CAT,
BRJ92940X9,COMPUTADOR HP I5 8GB 240SSD,CAT,
210160061,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CAT,
2432391010464,ESTABILIZADOR TS SHARA DE SERIAL ,CAT,
201272356,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAT,
2432391010467,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAT,
AK91025461,IMPRESSORA OKI MC780,CAT,
009SPGS05231,"MONITOR AOC LED 18,5",CAT,
009SPXV05530,"MONITOR AOC LED 18,5",CAT,
010SPTM18249,"MONITOR AOC LED 18,5",CAT,
CN0668VC7426166K2WFB,"MONITOR DELL 21,5 POLEGADAS",CAT,
009SPZK05253,"MONITOR LG LED 18,5",CAT,
4A890MM4A,COMPUTADOR CORE I3 7100 HD 500 4GB,CGP,
4J3TKF2,COMPUTADOR DELL I5 8GB 240SSD,CGP,
4ZNZWQ2,COMPUTADOR DELL I5 8GB 240SSD,CGP,
4ZVTWQ2,COMPUTADOR DELL I5 8GB 240SSD,CGP,
210160054,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CGP,
2403491010370,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CGP,
210160011,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CGP,
210160124,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CGP,
2444491010216,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CGP,
